City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Salinopolis,BR,-0.6136,-47.3561,82.69,74,80,9.33,broken clouds
195,Beringovskiy,RU,63.05,179.3167,-25.98,95,16,7.72,few clouds
196,Viedma,AR,-40.8135,-62.9967,75.45,22,98,16.33,overcast clouds
197,La Ronge,CA,55.1001,-105.2842,-21.75,69,40,2.3,scattered clouds
198,Kodinsk,RU,58.6881,99.1844,-17.5,100,21,2.42,few clouds
199,Olafsvik,IS,64.8945,-23.7142,28.58,69,48,26.51,scattered clouds
200,Imeni Zhelyabova,RU,58.9544,36.5956,21.33,89,100,8.66,overcast clouds
201,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,75,5.75,broken clouds
202,Kattivakkam,IN,13.2167,80.3167,81.07,77,21,11.72,few clouds
203,Tawang,IN,27.5833,91.8667,24.55,43,3,8.05,clear sky
204,Nouadhibou,MR,20.931,-17.0347,82.38,21,98,11.5,overcast clouds
205,Srednekolymsk,RU,67.45,153.6833,-33.2,98,58,7.16,broken clouds
206,Hamilton,US,39.1834,-84.5333,32.63,79,100,12.66,overcast clouds
207,Arman,RU,59.7,150.1667,-7.92,80,91,7.67,overcast clouds
208,Cavnic,RO,47.6667,23.8667,34.79,88,9,2.15,clear sky
209,Hirara,JP,24.8,125.2833,69.96,85,100,14.92,overcast clouds
210,Road Town,VG,18.4167,-64.6167,80.69,78,20,11.5,few clouds
211,Mwinilunga,ZM,-11.7358,24.4293,72.86,74,55,4.47,light rain
212,Beloha,MG,-25.1667,45.05,78.76,73,0,18.59,clear sky
213,Stolin,BY,51.8912,26.846,31.03,68,0,6.13,clear sky
214,Cockburn Town,TC,21.4612,-71.1419,77.67,75,2,22.28,clear sky
215,Jandaia Do Sul,BR,-23.6031,-51.6433,81.43,38,0,6.08,clear sky
216,Bandarbeyla,SO,9.4942,50.8122,77.41,57,30,13.15,scattered clouds
217,Ahipara,NZ,-35.1667,173.1667,69.8,83,95,29.42,overcast clouds
218,Yellowknife,CA,62.456,-114.3525,-27.58,88,0,5.75,clear sky
219,Yar-Sale,RU,66.8333,70.8333,-6.5,88,100,14.56,overcast clouds
220,Ozernovskiy,RU,51.5,156.5167,20.14,80,30,3.11,scattered clouds
221,Mumford,GH,5.2618,-0.759,84.13,69,26,13.69,scattered clouds
222,Iguaba Grande,BR,-22.8392,-42.2289,80.53,83,75,5.75,broken clouds
223,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,75,75,6.91,broken clouds
224,Statesboro,US,32.4488,-81.7832,60.58,44,0,6.91,clear sky
225,Urumqi,CN,43.801,87.6005,11.35,85,75,2.24,light snow
226,Olinda,BR,-8.0089,-34.8553,87.53,66,40,10.36,scattered clouds
227,Nola,IT,40.922,14.5329,62.02,54,34,17.0,scattered clouds
228,Cape Town,ZA,-33.9258,18.4232,75.88,66,0,13.8,clear sky
229,Jais,IN,26.25,81.5333,56.5,48,0,5.97,clear sky
230,Matara,LK,5.9485,80.5353,77.22,88,99,1.16,overcast clouds
231,Fairbanks,US,64.8378,-147.7164,-3.91,81,100,4.61,overcast clouds
232,Ballina,AU,-28.8667,153.5667,66.38,92,51,15.75,broken clouds
233,Matagami,CA,49.7502,-77.6328,-18.29,69,40,11.5,scattered clouds
234,Atar,MR,20.5169,-13.0499,80.65,16,25,11.5,scattered clouds
235,Tumaco,CO,1.7986,-78.8156,77.38,87,95,6.35,light rain
236,Sisimiut,GL,66.9395,-53.6735,16.61,89,96,35.68,overcast clouds
237,Sola,VU,-13.8833,167.55,77.7,85,100,11.54,overcast clouds
238,Magistralnyy,RU,56.1725,107.4458,-28.79,100,45,3.04,scattered clouds
239,Ostrovnoy,RU,68.0531,39.5131,16.23,94,88,11.32,overcast clouds
240,Leningradskiy,RU,69.3833,178.4167,-21.82,98,97,3.91,overcast clouds
241,Shache,CN,38.4167,77.2406,39.33,36,71,5.5,broken clouds
242,Hasaki,JP,35.7333,140.8333,30.6,58,18,7.31,few clouds
243,Sobolevo,RU,54.4299,31.8996,22.73,90,7,10.04,clear sky
244,Hornepayne,CA,49.2138,-84.7705,-17.5,90,45,4.29,scattered clouds
245,Namibe,AO,-15.1961,12.1522,82.04,57,62,11.48,broken clouds
246,Pevek,RU,69.7008,170.3133,-26.3,98,100,8.34,overcast clouds
247,Tchaourou,BJ,8.8865,2.5975,98.67,8,77,3.67,broken clouds
248,Bathsheba,BB,13.2167,-59.5167,83.01,61,75,23.02,broken clouds
249,Port Macquarie,AU,-31.4333,152.9167,62.89,64,80,10.67,broken clouds
250,Damietta,EG,31.4165,31.8133,62.49,66,0,12.91,clear sky
251,Togur,RU,58.3631,82.8265,-2.81,98,10,7.14,clear sky
252,Yaan,NG,7.3833,8.5667,99.91,6,53,5.68,broken clouds
253,Hokitika,NZ,-42.7167,170.9667,53.89,87,100,11.16,overcast clouds
254,Mount Gambier,AU,-37.8333,140.7667,61.38,64,67,5.44,broken clouds
255,Weyburn,CA,49.6668,-103.8511,7.02,72,100,2.3,overcast clouds
256,Yerbogachen,RU,61.2767,108.0108,-11.06,100,99,1.1,overcast clouds
257,Carutapera,BR,-1.195,-46.02,79.93,86,100,6.13,overcast clouds
258,Mar Del Plata,AR,-38.0023,-57.5575,64.42,68,20,23.02,few clouds
259,Mapastepec,MX,15.4333,-92.9,84.87,44,0,2.64,clear sky
260,Marquette,US,46.5333,-87.6335,6.33,71,83,9.51,broken clouds
261,Sandwick,GB,60.0,-1.25,46.22,87,20,24.16,few clouds
262,Kodiak,US,57.79,-152.4072,38.71,65,40,14.97,scattered clouds
263,Chernyshevskiy,RU,63.0128,112.4714,-14.85,100,96,0.87,overcast clouds
264,Simao,CN,22.7886,100.9748,52.77,42,1,1.95,clear sky
265,Zhaozhou,CN,45.6833,125.3167,-7.58,100,58,2.8,broken clouds
266,Muncar,ID,-8.4333,114.3333,76.66,89,100,7.83,overcast clouds
267,Buchmany,UA,51.0689,28.0421,31.33,76,55,7.27,broken clouds
268,Osakarovka,KZ,50.565,72.5692,13.41,93,100,19.42,light snow
269,Coahuayana,MX,18.7333,-103.6833,72.88,40,69,5.14,broken clouds
270,Victoria,HK,22.2855,114.1577,68.18,84,76,5.01,broken clouds
271,Sistranda,NO,63.7256,8.834,36.9,87,100,14.03,light rain
272,Anzio,IT,41.4853,12.6179,63.3,66,2,7.2,clear sky
273,Salekhard,RU,66.53,66.6019,-14.8,98,100,6.42,overcast clouds
274,Badvel,IN,14.75,79.05,74.97,65,21,7.11,few clouds
275,Chimore,BO,-16.9833,-65.1333,80.6,90,88,2.8,moderate rain
276,Tikapur,NP,28.5,81.1333,56.97,73,0,1.41,clear sky
277,Lata,PT,40.1629,-8.3327,61.07,65,100,5.19,overcast clouds
278,Duxbury,US,42.0418,-70.6723,57.22,55,20,14.97,few clouds
279,Bossangoa,CF,6.4926,17.4552,99.52,9,6,6.17,clear sky
280,Howard Springs,AU,-12.497,131.047,76.91,90,25,3.49,scattered clouds
281,Sabla,NG,12.7525,4.7077,93.04,6,7,8.93,clear sky
282,Almeria,ES,37.1667,-2.3333,59.29,46,4,5.99,clear sky
283,Kiboga,UG,0.9161,31.7742,81.59,34,100,6.13,overcast clouds
284,Kiama,AU,-34.6833,150.8667,68.0,95,95,1.01,overcast clouds
285,San Ramon,US,37.7799,-121.978,60.75,78,0,0.0,clear sky
286,Sorong,ID,-0.8833,131.25,78.21,87,100,4.47,overcast clouds
287,Umm Kaddadah,SD,13.6017,26.6876,80.55,8,9,14.83,clear sky
288,Auki,SB,-8.7676,160.7034,75.0,92,100,3.09,overcast clouds
289,Rio Grande,BR,-32.035,-52.0986,82.51,66,21,13.13,moderate rain
290,Virginia Beach,US,36.8529,-75.978,63.03,48,20,11.5,few clouds
291,Saint-Leu,RE,-21.15,55.2833,79.66,74,30,4.0,scattered clouds
292,Nome,US,64.5011,-165.4064,1.47,55,100,4.61,overcast clouds
293,Den Helder,NL,52.9599,4.7593,45.99,64,75,23.02,broken clouds
294,Pitogo,PH,13.7847,122.0881,74.32,94,100,4.74,overcast clouds
295,Rapid Valley,US,44.0625,-103.1463,29.62,67,100,8.01,overcast clouds
296,Naze,JP,28.3667,129.4833,62.06,89,100,14.43,overcast clouds
297,Hun,LY,29.1268,15.9477,64.45,24,0,4.27,clear sky
298,Muravlenko,RU,63.7898,74.523,-9.06,98,6,12.26,clear sky
299,Vikhorevka,RU,56.1201,101.1636,-4.41,100,44,0.72,scattered clouds
300,Wajima,JP,37.4,136.9,41.04,72,100,14.7,overcast clouds
301,Lebu,CL,-37.6167,-73.65,68.77,52,3,12.55,clear sky
302,Goundam,ML,16.4145,-3.6708,84.74,8,2,8.46,clear sky
303,Disna,BY,55.568,28.1971,30.81,79,25,15.1,scattered clouds
304,Lagoa,PT,39.05,-27.9833,59.94,85,100,20.24,overcast clouds
305,Mecca,SA,21.4267,39.8261,82.6,32,0,9.35,clear sky
306,Muroto,JP,33.2833,134.15,50.79,61,6,8.86,clear sky
307,Paso De Carrasco,UY,-34.8603,-56.0522,66.94,94,100,17.27,drizzle
308,Sychevka,RU,55.8252,34.2736,21.63,89,76,9.06,broken clouds
309,Kulhudhuffushi,MV,6.6221,73.07,81.93,72,100,9.66,overcast clouds
310,Princeton,US,25.5384,-80.4089,80.02,79,75,6.91,broken clouds
311,Viransehir,TR,37.2353,39.7631,50.54,47,0,3.11,clear sky
312,Dakar,SN,14.6937,-17.4441,92.28,32,21,11.5,few clouds
313,San Quintin,MX,30.4833,-115.95,60.89,51,3,1.05,clear sky
314,Bobrovka,RU,54.047,61.7455,12.65,96,100,4.09,overcast clouds
315,San Cristobal,VE,7.7669,-72.225,73.58,41,93,8.99,overcast clouds
316,Goroka,PG,-6.0834,145.3873,58.35,95,90,2.01,overcast clouds
317,Alofi,NU,-19.0595,-169.9187,75.09,88,14,1.14,few clouds
318,Palembang,ID,-2.9167,104.7458,80.69,89,40,4.61,scattered clouds
319,Necochea,AR,-38.5473,-58.7368,68.04,46,0,11.25,clear sky
320,Acarau,BR,-2.8856,-40.12,82.96,69,93,11.88,overcast clouds
321,Svetlyy,RU,54.675,20.1347,35.65,62,74,14.0,broken clouds
322,Nawabganj,BD,24.5911,88.271,63.91,45,0,6.73,clear sky
323,Canberra,AU,-35.2835,149.1281,60.28,83,100,5.75,overcast clouds
