City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Acarau,BR,82.96,overcast clouds,-2.8856,-40.12,castelo pizzaria
326,Sumbe,AO,82.45,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
330,Arlit,NE,83.61,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
339,Luganville,VU,78.3,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
341,Isangel,VU,79.3,broken clouds,-19.55,169.2667,Tanna Lodge
349,Santa Marta,CO,87.89,overcast clouds,11.2408,-74.199,Casa de Isabella
350,Kinablangan,PH,76.8,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
356,Caravelas,BR,85.23,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
357,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
361,Porto Novo,BJ,87.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
364,Ternate,ID,80.47,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
366,Dingle,PH,75.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
373,Bima,ID,76.23,overcast clouds,-8.4667,118.7167,Lambitu Hotel
375,Puerto Padre,CU,83.41,clear sky,21.195,-76.6028,Casa Villa Velázquez
379,Tolaga Bay,NZ,76.23,broken clouds,-38.3667,178.3,Tolaga Bay Motel
380,Poso,ID,75.4,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
382,Majene,ID,76.06,light rain,-3.5403,118.9707,Kost Putri RABBANI
383,Santiago Del Estero,AR,75.07,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
388,Harper,LR,83.79,light rain,4.375,-7.7169,Screensaver
390,Savannah Bight,HN,82.45,clear sky,16.45,-85.85,Villa on Dunbar Rock
393,Mormugao,IN,79.86,clear sky,15.4,73.8,Coconut Creek Resort
397,Pedernales,DO,82.47,clear sky,18.0384,-71.744,Hotel Costa Marina
398,Paita,PE,79.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
400,Gouyave,GD,83.17,scattered clouds,12.1646,-61.7296,Rumboat Retreat
404,Fare,PF,80.85,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
410,Port Blair,IN,80.64,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
411,Kavaratti,IN,80.94,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
413,Okato,NZ,75.9,overcast clouds,-39.2,173.8833,Goodin Country Garden
415,Siyabuswa,ZA,88.45,overcast clouds,-25.1132,29.0445,Survivor Africa Game Lodge
418,Sao Miguel Do Araguaia,BR,81.55,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
423,Camana,PE,75.56,scattered clouds,-16.6228,-72.7111,Hostal Morales
424,Batticaloa,LK,78.19,overcast clouds,7.7102,81.6924,Grand Star Guest House
426,Ancud,CL,75.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
430,San Carlos Del Zulia,VE,84.54,overcast clouds,9.0,-71.9135,Hotel El Manantial
433,Samarai,PG,80.42,overcast clouds,-10.6167,150.6667,Nuli Sapi
443,Kalmunai,LK,77.72,overcast clouds,7.4167,81.8167,VS Villa
447,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
451,Bambous Virieux,MU,80.85,few clouds,-20.3428,57.7575,Casa Tia Villa
460,Ugoofaaru,MV,81.09,overcast clouds,5.6667,73.0,Ungoofaaru Inn
462,Bontang,ID,77.43,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
464,Diamantino,BR,81.84,overcast clouds,-14.4086,-56.4461,Hotel Delta
465,Quatre Cocos,MU,80.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
468,Lorengau,PG,80.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
469,Segou,ML,89.58,clear sky,13.4317,-6.2157,Comme chez soi
474,Cururupu,BR,79.09,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
475,Itarema,BR,84.34,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
480,Mana,GF,81.18,overcast clouds,5.6592,-53.7767,LE SAMANA
483,Senanga,ZM,75.72,light rain,-16.1167,23.2667,Zango lodge
